policy,keep_size,seq_len,compression_ratio,max_abs_diff,mean_abs_diff,cosine_sim,kl_divergence,top1_agreement
lru,32,301,0.106,0.0,0.0,1.0,nan,1.0
lru,64,301,0.213,0.0,0.0,1.0,nan,1.0
lru,128,301,0.425,0.0,0.0,1.0,nan,1.0
h2o_0.1,32,301,0.106,0.0,0.0,1.0,nan,1.0
h2o_0.1,64,301,0.213,0.0,0.0,1.0,nan,1.0
h2o_0.1,128,301,0.425,0.0,0.0,1.0,nan,1.0
streaming_4_256,32,301,0.106,0.0,0.0,1.0,nan,1.0
streaming_4_256,64,301,0.213,0.0,0.0,1.0,nan,1.0
streaming_4_256,128,301,0.425,0.0,0.0,1.0,nan,1.0
snap,32,301,0.106,0.0,0.0,1.0,nan,1.0
snap,64,301,0.213,0.0,0.0,1.0,nan,1.0
snap,128,301,0.425,0.0,0.0,1.0,nan,1.0
lru,32,281,0.114,0.0,0.0,1.0,0.0,1.0
lru,64,281,0.228,0.0,0.0,1.0,0.0,1.0
lru,128,281,0.456,0.0,0.0,1.0,0.0,1.0
h2o_0.1,32,281,0.114,0.0,0.0,1.0,0.0,1.0
h2o_0.1,64,281,0.228,0.0,0.0,1.0,0.0,1.0
h2o_0.1,128,281,0.456,0.0,0.0,1.0,0.0,1.0
streaming_4_256,32,281,0.114,0.0,0.0,1.0,0.0,1.0
streaming_4_256,64,281,0.228,0.0,0.0,1.0,0.0,1.0
streaming_4_256,128,281,0.456,0.0,0.0,1.0,0.0,1.0
snap,32,281,0.114,0.0,0.0,1.0,0.0,1.0
snap,64,281,0.228,0.0,0.0,1.0,0.0,1.0
snap,128,281,0.456,0.0,0.0,1.0,0.0,1.0
lru,32,376,0.085,0.0,0.0,1.0,nan,1.0
lru,64,376,0.17,0.0,0.0,1.0,nan,1.0
lru,128,376,0.34,0.0,0.0,1.0,nan,1.0
h2o_0.1,32,376,0.085,0.0,0.0,1.0,nan,1.0
h2o_0.1,64,376,0.17,0.0,0.0,1.0,nan,1.0
h2o_0.1,128,376,0.34,0.0,0.0,1.0,nan,1.0
streaming_4_256,32,376,0.085,0.0,0.0,1.0,nan,1.0
streaming_4_256,64,376,0.17,0.0,0.0,1.0,nan,1.0
streaming_4_256,128,376,0.34,0.0,0.0,1.0,nan,1.0
snap,32,376,0.085,0.0,0.0,1.0,nan,1.0
snap,64,376,0.17,0.0,0.0,1.0,nan,1.0
snap,128,376,0.34,0.0,0.0,1.0,nan,1.0
